RPID,RPName,Amount,L_RID,OName
1,A Bayesian Random Block Item Response Theory Model for Forced-Choice Formats,"20,000",15-4670496,Google
2,A Bullet-Block Experiment That Explains the Chain Fountain,15000,14-0443197,IBM
3,A Computer Science and Robotics Integration Model for Primary School: Evaluation of a Large-Scale In-Service K-4 Teacher-Training Program,18000,76-8383546,Microsoft
4,A Girl's Gendered Engagement in Designing and Building Robots,4000,63-1315364,
5,A Lagrangian Approach to Bungee Jumping,12000,43-9233335,NSF
6,"A Novel, Modular Robot for Educational Robotics Developed Using Action Research Evaluated on Technology Acceptance Model",14000,54-7769178,DARPA
7,A Qualitative Study Exploring Robots as a Potential Classroom Tool for Teaching Computational Thinking within a Sixth-Grade Class,16000,24-5549298,Adobe
8,A Study of Children's Learning and Play Using an Underwater Robot Construction Kit,"20,000",64-6306730,Google
9,A Systematic Review of Educational Robotics Studies for the Period 2010-2021,15000,46-9123325,IBM
10,A Systematic Review of Studies on Educational Robotics,18000,81-9544036,Microsoft
11,A Systematic Review on Exploring the Potential of Educational Robotics in Mathematics Education,4000,01-9228104,
12,A Three-Levels Analysis of Double Stimulation in a Change Laboratory,12000,91-8805582,NSF
13,Accelerating Mixed Methods Research with Natural Language Processing of Big Text Data,14000,77-3057854,DARPA
14,Activity-Based Unplugged Coding during the Preschool Period,16000,21-7713128,Adobe
15,Adult STEM Education for Democratic Participation,"20,000",55-5121214,Google
16,Aims for Cultivating Students' Key Competencies Based on Artificial Intelligence Education in China,15000,57-5587417,IBM
17,"Alexa, Help Me Learn about the Internet of Things!",18000,51-1921693,Microsoft
18,An Approach to Convert Conventional Laboratories into IoT-Enabled Laboratories,4000,74-7139061,
19,An Educational Robotics Course: Examination of Educational Potentials and Pre-Service Teachers' Experiences,12000,34-6067680,NSF
20,An Examination of Student User Experience (UX) and Perceptions of Remote Invigilation during Online Assessment,14000,12-1354718,DARPA
21,An Exploration of Combining Virtual and Physical Robots in Robotics Education,16000,01-9228104,Adobe
22,An Imagineering Learning Model Using Advance Organizers with Internet of Things,"20,000",75-9429219,Google
23,An Investigation of the Relationship between Science Course Attitudes and Robotics Attitudes,15000,64-5065215,IBM
24,An OER on Digital Historical Research on European Historical Newspapers with the NewsEye Platform,18000,83-6997957,Microsoft
25,Analysing an Interactive Problem-Solving Task Through the Lens of Double Stimulation,4000,49-3880119,
26,Analysis of Studies in the Literature on Educational Robotics,12000,67-3588178,NSF
27,"Analyzing the Outcomes of a Robotics Workshop on the Self-Efficacy, Familiarity, and Content Knowledge of Participants and Examining Their Designs for End-of-Year Robotics Contests",14000,93-5618628,DARPA
28,Ardosia: Simulating Circuits and Robotic Systems in a Single Learning Platform,16000,31-3233932,Adobe
29,Arduino-Assisted Robotics Coding Applications Integrated into the 5E Learning Model in Science Teaching,"20,000",64-5065215,Google
30,Artificial Intelligence in Education: A Science Mapping Approach,15000,37-0441202,IBM
31,Artificial Intelligence in Education: AIEd for Personalised Learning Pathways,18000,27-7549834,Microsoft
32,Artificial Intelligence in the Fourth Industrial Revolution to Educate for Sustainable Development,4000,97-0626417,
33,Artificial Intelligence Technologies in College English Translation Teaching,12000,30-1514690,NSF
34,Artificial Intelligence-Based Content Generator Technology for Young English-as-a-Foreign-Language Learners' Reading Enjoyment,14000,86-6123767,DARPA
35,Arts and Crafts Robots or LEGO® MINDSTORMS Robots? A Comparative Study in Educational Robotics,16000,67-7779187,Adobe
36,Assessing and Benchmarking Learning Outcomes of Robotics-Enabled STEM Education,"20,000",47-7255928,Google
37,Assessing Teachers' PCK to Teach Computational Thinking via Robotic Programming,15000,58-2410613,IBM
38,Assessing the Impact of a Project-Based Learning Robotics Course with Integrating of STEM Education Using Content Analysis Method,18000,34-0420024,Microsoft
39,"Assessing the Impact of an Adapted Robotics Programme on Interest in Science, Technology, Engineering and Mathematics (STEM) among Children with Disabilities",4000,06-2922760,
40,"Augmented Reality and Competition in Robotics Education: Effects on 21st Century Competencies, Group Collaboration and Learning Motivation",12000,54-3415380,NSF
41,Automated Creativity Prediction Using Natural Language Processing and Resting-State Functional Connectivity: An fNIRS Study,14000,16-0823888,DARPA
42,Bibliographic and Text Analysis of Research on Implementation of the Internet of Things to Support Education,16000,17-0611895,Adobe
43,Bibliometric Map of Educational Robotics Studies,"20,000",32-5447713,Google
44,Big Data and Internet of Things (IoT) Technologies' Influence on Higher Education: Current State and Future Prospects,15000,56-4896398,IBM
45,Brief Report: Neuroimaging Endophenotypes of Social Robotic Applications in Autism Spectrum Disorder,18000,88-7650152,Microsoft
46,Building Collaboration Skills in 4th- to 6th-Grade Students through Robotics,4000,37-5174428,
47,Can Educational Robots Improve Student Creativity: A Meta-Analysis Based on 48 Experimental and Quasi-Experimental Studies,12000,73-2673503,NSF
48,Characteristics of Student Engagement in High-School Robotics Courses,14000,18-5745517,DARPA
49,Classification of Open-Ended Responses to a Research-Based Assessment Using Natural Language Processing,16000,83-3620318,Adobe
50,"Cognition, Attitude, and Interest in Cross-Disciplinary i-STEM Robotics Curriculum Developed by Thematic Integration Approaches of Webbed and Threaded Models: A Concurrent Embedded Mixed Methods Study","20,000",06-7763360,Google
51,Collaborative Augmentation and Simplification of Text (CoAST): Pedagogical Applications of Natural Language Processing in Digital Learning Environments,15000,74-7901366,IBM
52,Collaborative Behavioural Patterns of Elementary School Students Working on a Robotics Project,18000,34-6067680,Microsoft
53,Comparative Study of Robotics Curricula,4000,23-8509141,
54,Computational Thinking Development: Benefiting from Educational Robotics in STEM Teaching,12000,91-4192964,NSF
55,Correlation between Library Instruction and Student Retention: Methods and Implications,14000,15-3666937,DARPA
56,Creative Intention and Persistence in Educational Robotic,16000,57-1957223,Adobe
57,Cultivating Students' Computational Thinking through Student-Robot Interactions in Robotics Education,"20,000",83-6185383,Google
58,Design and Piloting of a Proposal for Intervention with Educational Robotics for the Development of Lexical Relationships in Early Childhood Education,15000,05-2153012,IBM
59,"Design, Implementation, and Evaluation of a Professional Development Program for Teachers to Teach Computational Thinking via Robotics",18000,15-3536496,Microsoft
60,Developing Collaborative Behaviours in Elementary School Students: A Comparison of Robotics versus Maths Teams,4000,37-5174428,
61,Development and Validation of Robotic Coding Attitude Scale,12000,27-2540866,NSF
62,Development of a Micro Weather Station Using Arduino and Internet of Things,14000,55-3415918,DARPA
63,Development of the Children's Abilities in School. A Comparative Study between the Efficiency of the Robotics vs Applied Mathematics in Movement Transmission,16000,86-8518841,Adobe
64,Dimensions of Robotic Education Quality: Teachers' Perspectives as Teaching Assistants in Thai Elementary Schools,"20,000",74-4083999,Google
65,Discovering Concepts of Geometry through Robotics Coding Activities,15000,79-9420773,IBM
66,Disrupted Lessons in Engineering Robotics: Pivoting Knowledge Transfer from Physical to Virtual Learning Environments,18000,61-1562324,Microsoft
67,Distributed Interpretation -- Teaching Reconstructive Methods in the Social Sciences Supported by Artificial Intelligence,4000,92-4595789,
68,Educational Robotics and Attention to Diversity: A Case Study,12000,57-5757345,NSF
69,Effect of Robotics Technology in Science Education on Scientific Creativity and Attitude Development,14000,48-8807591,DARPA
70,"Effects of Higher Education Institutes' Artificial Intelligence Capability on Students' Self-Efficacy, Creativity and Learning Performance",16000,27-5056205,Adobe
71,Effects of Pair Learning on Girls' Learning Performance in Robotics Education,"20,000",01-9228104,Google
72,Effects of Robotic Coding Supported Design-Based Science Instruction on Students' Science Process Skills,15000,28-7822254,IBM
73,Effects of Robotics Education on Young Children's Cognitive Development: A Pilot Study with Eye-Tracking,18000,83-8176555,Microsoft
74,Effects of Robotics STEM Camps on Rural Elementary Students' Self-Efficacy and Computational Thinking,4000,75-7821094,
75,Effects of Roles Assignment and Learning Styles on Pair Learning in Robotics Education,12000,01-9228104,NSF
76,Effects of the World Robot Olympiad on the Students Who Participate: A Qualitative Study,14000,28-7543210,DARPA
77,Elementary Students' Performance and Perceptions of Robot Coding and Debugging: Embodied Approach in Practice,16000,78-3596317,Adobe
78,Empowering Computing Students with Proficiency in Robotics via Situated Learning,"20,000",54-1524752,Google
79,Empowering Technology and Engineering for STEM Education through Programming Robots: A Systematic Literature Review,15000,31-3933502,IBM
80,Errors of Programming and Ownership of the Robot Concept Made by Trainee Kindergarten Teachers during an Induction Training,18000,13-1342270,Microsoft
81,"Ethics, Rigour and Agility of Research and Evaluation Methods in a Changing Social and Clinical Context: Reflections from a Psychosocial Research Centre on the Implications of the COVID-19 Pandemic",4000,48-1336578,
82,"Evaluation of the ""Artvin Gets Color with Science and Robotics 2"" Project",12000,10-8345501,NSF
83,Examining the Effectiveness of a Professional Development Program: Integration of Educational Robotics into Science and Mathematics Curricula,14000,74-5818629,DARPA
84,Exploring Factors That Influence Computational Thinking Skills in Elementary Students' Collaborative Robotics,16000,06-9821851,Adobe
85,"Exploring the Effects of ""Productive Children: Coding and Robotics Education Program"" in Early Childhood Education","20,000",63-8424655,Google
86,Exploring the Effects of Near-Peer Teaching in Robotics Education: The Role of STEM Attitudes,15000,47-4130551,IBM
87,Exploring the Influence of Student Emotions and Professor Behaviour on Course Ratings: A Quantitative Analysis,18000,21-6449982,Microsoft
88,Exploring the Relationship between Transhumanist and Artificial Intelligence in the Education Context: Particularly Teaching and Learning Process at Tertiary Education,4000,72-5373085,
89,Exploring the Usability of Virtual Robotics Programming Curriculum for Robotics Programming Teaching,12000,15-3536496,NSF
90,Framework of Artificial Intelligence Learning Platform for Education,14000,33-2385282,DARPA
91,Gather-Narrow-Extract: A Framework for Studying Local Policy Variation Using Web-Scraping and Natural Language Processing,16000,86-8210063,Adobe
92,Green University Using Cloud Based Internet of Things Model for Energy Saving,"20,000",76-1836157,Google
93,Halloween Educational Robotics,15000,25-2107902,IBM
94,How Do Elementary Childhood Education Teachers Perceive Robotic Education in Kindergarten? A Qualitative Study,18000,28-6924869,Microsoft
95,How Do Elementary School Teachers Learn Coding and Robotics? A Case Study of Mediations and Conflicts,4000,81-2208431,
96,How Do Students' Attitudes towards Programming and Self-Efficacy in Programming Change in the Robotic Programming Process?,12000,55-7371174,NSF
97,Iconicity and the Emergence of Combinatorial Structure in Language,14000,92-8264032,DARPA
98,Identifying Enemy Item Pairs Using Natural Language Processing,16000,36-8798695,Adobe
99,Imagining Robots of the Future: Examining Sixth-Graders' Perceptions of Robots through Their Literary Products,"20,000",56-4096656,Google
100,Implementation of Learning by Design in a Synchronized Online Environment to Teach Educational Robotics to Inservice Teachers,15000,91-1743123,IBM
